student_id,treatment,student_age,student_female,student_grade,BL_math_percent,BL_hindi_percent,BL_ses_index,EL_math_percent,EL_hindi_percent,EL_ses_index,add1
434,0,10,0,6,.3387454,.1816928,-.6027095,.5800874,.6708776,-.5483815,
304,0,10,0,6,.3787788,.2993584,-2.111449,.3591465,.3534173,-2.065724,
195,0,10,0,6,.3378556,.3128995,-.5833759,.3362968,.5147331,-.575815,
554,1,10,1,6,.3571861,.4054218,-.5594687,.4588914,.5520975,-.7147942,
457,0,10,0,5,.3110806,.4656316,.678304,.6194173,.7381148,.7581117,
398,0,10,1,6,.2224569,.3863597,-.6067815,.2396767,.3476859,-.6463068,
70,1,10,0,6,.4675318,.3606112,-1.339017,.6803269,.5607435,-1.272061,
419,1,10,0,6,.1939093,.2403839,.0694587,.7171618,.4826895,.0042238,
139,0,10,1,6,.249615,.3495924,1.9305,.0954148,.3823135,1.942373,
43,0,10,0,4,.3114003,.4641114,1.44064,.4411328,.3614708,1.332925,
465,0,10,0,6,.2062114,.3076179,-2.240371,.4773835,.264772,-2.270709,
577,0,10,1,7,.3010619,.2398106,-1.669036,.3262561,.3532868,-1.604725,
579,1,10,1,6,.0146522,.1412357,-2.003829,.4805665,.4077637,-1.924316,
379,1,10,1,5,.1366138,.4071085,1.327148,.5473709,.3892215,1.311288,
573,1,10,1,8,.3190547,.5224211,2.924646,.6144126,.7424829,2.898544,
188,0,10,0,6,.3505069,.4940373,-1.861225,.5279585,.5792929,-1.894273,
273,0,10,0,6,.3944963,.5107439,.6473524,.7141814,.4056081,.5719174,
597,0,10,1,5,.6823741,.9231154,2.650524,.7999768,.7963783,2.558585,
40,1,10,0,6,.1800627,.3028043,-.5296101,.2801323,.2208875,-.5175662,
103,0,10,0,6,.4470714,.2202764,.6809678,.4336982,.3502716,.6244499,
490,1,10,0,7,.216289,.4504099,-.7367042,.4132527,.5156205,-.7183353,
214,1,10,0,4,.3217284,.4833869,2.177597,.2123182,.4916129,2.090252,
382,0,10,1,6,.53146,.4800598,.2240073,.6788448,.7809642,.1654936,
561,0,10,0,6,.1433035,.1572347,-1.400341,.2732273,.124857,-1.494409,
487,0,10,1,5,.4077183,.2812624,-.6209474,.3054358,.2315518,-.6351691,
60,0,10,1,6,.104829,.531406,.2935104,.2737427,.3240133,.2286098,
313,0,10,1,7,.2085702,.3574136,-.565805,.194766,.0717902,-.675565,
556,0,10,1,7,.2535746,.6044079,-.7251815,.3474407,.6016048,-.7500631,
251,1,10,1,5,.2307549,.5453429,-1.14497,.7506579,.684731,-1.201964,
152,0,10,1,6,.2540496,.3797424,-.6227182,.629049,.6328416,-.5145754,
228,1,10,1,6,.2737274,.5292072,-3.886017,.5690568,.5198919,-3.844399,
92,0,10,1,5,.2590227,.3171887,.6344171,.2263751,.4228422,.6169598,
134,1,10,0,5,.6701027,.8365088,1.658575,.5227025,.7810584,1.64116,
516,0,10,1,6,.1855424,.5087393,-.6173683,.3083711,.1385998,-.6969292,
616,0,10,1,5,.3795972,.5353406,3.170358,.7077115,.6218488,3.054142,
339,1,10,1,6,.3923697,.6650812,-.4911307,.838268,.7493327,-.5703892,
383,0,10,1,6,.3329788,.3205855,-.6079975,.4192875,.3377886,-.5030859,
580,1,10,1,6,.1416456,.3045797,-1.114428,.2268766,.4144138,-1.121288,
200,0,10,1,6,.2530519,.4430191,1.350628,.4526668,.6593656,1.19413,
368,0,10,1,5,.077036,.1593249,-.6306509,.3357116,.4695789,-.4563347,
479,1,10,1,6,.3151776,.2304367,1.366636,.7983564,.6238132,1.314623,
499,1,10,0,6,.3973089,.1584089,.5254869,.3850672,.2184818,.4502668,
388,0,10,1,6,.3741864,.2338309,-.5798844,.2934499,.3101005,-.5541139,
332,1,10,0,6,.3278399,.239902,-2.111559,.5427821,.4254299,-2.006851,
592,0,10,0,6,.3913002,.272847,-2.808375,.2462967,.0790818,-2.765675,
269,1,11,1,6,.3669719,.7050577,.9661745,.7096815,.7769363,.8641,
132,1,11,1,6,.2940878,.5002319,-5.02837,.6157275,.7566496,-4.984367,
204,0,11,0,6,.2680261,.4330733,-2.550075,.4452845,.1322558,-2.551369,
296,0,11,0,6,.3606027,.7754868,1.385272,.624015,.7837965,1.329416,
126,0,11,1,7,.4721299,.8311204,1.749483,.7138501,.5865529,1.783995,
154,0,11,1,7,.0319001,.3274539,.2234623,.2047923,.1159602,.0794984,
426,1,11,1,7,.194189,.1958184,-2.204964,.4570154,.3070072,-2.221307,
461,1,11,1,6,.1919425,.3069795,-1.461462,.3697363,.1783065,-1.525316,
177,1,11,1,6,.3166228,.4114998,.9351317,.4482456,.2437277,.9850373,
369,0,11,1,6,.2211068,.5370896,-1.380585,.3919772,.4589188,-1.365801,
549,0,11,1,6,.094133,.2585918,-.6537342,.401805,.1045134,-.6065503,
298,1,11,1,6,.1667745,.3492374,.0518775,.3918797,.6678773,.1954715,
456,0,11,1,6,.2901586,.2671025,1.653533,.3243081,.2946584,1.59544,
327,1,11,1,6,.506377,.65822,-1.371517,.9064486,.902921,-1.527382,
100,1,11,0,6,.1936873,.2696504,-.7306827,.5297605,.3440103,-.7113117,
348,0,11,0,6,.1535015,.3472541,-2.598034,.2562907,.2415531,-2.472555,
104,1,11,1,6,.2336291,.6003513,-.6764287,.5379954,.5680237,-.6210307,
329,1,11,1,6,.4517858,.4402544,1.460444,.413944,.3495965,1.484622,
63,0,11,1,6,.4080827,.5860994,.19792,.5169023,.5618309,.2013186,
191,0,11,1,6,.1899781,.5350714,.1743805,.3003108,.5930153,.204608,
505,0,11,1,6,.2693256,.1387776,1.602328,.3308174,.223272,1.719936,
293,1,11,0,6,.279484,.5851744,-.5655861,.6281732,.6688619,-.6092049,
589,0,11,1,6,.3305842,.4583748,-.0213457,.4721133,.2603568,-.1644855,
44,1,11,1,6,.2674115,.6135615,2.530811,.6630494,.8437529,2.630805,
267,1,11,1,7,.3016363,.2919003,1.318401,.2984062,.3932334,1.335305,
525,0,11,1,8,.2550519,.5730222,2.2855,.3204839,.6537003,2.256145,
53,1,11,1,6,.3406024,.5923259,1.656722,.6377734,.638552,1.651327,
324,0,11,1,6,.3365559,.4741183,-1.186565,.6504891,.6579565,-1.195993,
404,1,11,0,7,.2975444,.498979,-.1031737,.4425721,.7913798,-.1488902,
282,1,11,1,7,.1870742,.3047499,.8587651,.6000338,.5746996,.9922581,
192,1,11,0,7,.5289711,.2449782,-4.195199,.5241663,.3144808,-4.269127,
435,1,11,1,6,.4173751,.7239164,.9024204,.5785741,.7384576,1.020969,
438,0,11,1,6,.167095,.5701992,2.691632,.6126573,.546328,2.732268,
341,0,11,1,6,.0887114,.2297316,.9644911,.3182377,.3196736,.906181,
91,0,11,0,4,.7580277,.4939418,1.646511,.7530066,.8379434,1.621484,
235,1,11,1,6,.383086,.7260779,1.432753,.3840461,.5024563,1.465212,
391,0,11,1,6,.2726024,.5697777,1.433091,.3024075,.5927277,1.496713,
35,1,11,0,6,.112272,.4765974,.1472091,.4494821,.7444849,.2097989,
37,1,11,1,6,.4402459,.4547893,2.253571,.3847998,.7721523,2.233651,
323,0,11,0,6,.3011579,.2748951,-.050798,.2811504,.5284156,.0112744,
14,1,11,1,6,.2317103,.6884145,-1.04281,.6892769,.6942827,-1.121419,
610,1,11,1,6,.1041837,.32185,.1148653,.227782,.3155291,.092518,
300,1,11,1,7,.3464042,.346422,.1784994,.5015797,.3938527,.0275657,
583,0,11,1,6,.4603371,.4627269,.1512801,.626854,.5875506,.0859946,
50,1,11,0,6,.2951705,.4145104,-.9413095,.5981503,.6187251,-.9440038,
89,0,11,1,6,.4528641,.7174258,-.650634,.6780567,.5842578,-.6589763,
495,1,11,1,6,.1535622,.2469968,-1.430841,.4489342,.6476946,-1.422674,
325,0,11,1,6,.3041567,.6075805,1.323614,.6655027,.8623261,1.317746,
414,0,11,1,6,.3123987,.466341,2.818164,.3830425,.6663252,2.748728,
357,0,11,1,6,.184058,.3826699,1.378913,.2996494,.3676136,1.35986,
108,0,11,1,6,.3229719,.380284,2.338649,.2999332,.5396764,2.405039,
122,0,11,1,6,.2486217,.5129383,1.473457,.176814,.7174973,1.41319,
526,0,11,1,6,.4749453,.4239274,.2522605,.4592441,.5452837,.1711001,
127,0,11,1,6,.0610109,.5196472,.6441209,.4837421,.6780503,.567067,
392,0,11,1,6,.4574949,.2453831,-2.770176,.3944402,.3002362,-2.716939,
19,1,11,1,6,.3434316,.6575579,2.474971,.6537442,.5427397,2.339745,
133,1,11,0,6,.4601561,.3452092,1.485781,.7304754,.6467452,1.318241,
73,1,11,0,6,.4007666,.2944785,.4325718,.2966013,.4632401,.3762597,
218,1,11,1,6,.244275,.5298575,1.36378,.6829562,.6499782,1.454545,
617,0,11,1,6,.5813901,.5302645,-2.087066,.1506365,.4777159,-2.155788,
42,1,11,1,6,.2876599,.6571208,.6700541,.7624947,.7150316,.5521125,
389,1,11,1,6,.052474,.239145,-2.028911,.4644893,.252357,-2.023075,
598,1,11,1,7,.4049659,.3834636,-.6060289,.361459,.6279761,-.724266,
59,1,11,1,6,.3250434,.4617214,.9306642,.6065819,.5507696,.9430953,
47,0,11,1,6,.4968787,.8139466,3.151132,.8340647,.9112211,3.26188,
421,0,11,1,6,.347894,.1658644,-1.316936,.2538208,.2726913,-1.452982,
74,1,11,1,6,.3319623,.2957078,2.56682,.5303079,.7772847,2.553325,
1,0,11,1,6,.3223983,.4673371,2.085035,.4374273,.7171176,2.092012,
544,0,11,1,7,.464921,.542816,-1.626626,.7140115,.8292846,-1.718556,
94,1,11,1,6,.1073275,.377405,-4.954139,.0032575,.1217558,-4.887914,
16,1,11,1,6,.1315647,.2531003,1.337277,.4612499,.4709513,1.393898,
22,0,11,0,6,.4262393,.5412773,.0511344,.4924175,.6309425,.0976728,
83,1,11,1,6,.3558667,.418899,.2136551,.7982011,.603619,.3111126,
476,0,11,0,6,.385177,.4053178,-.1891398,.4234251,.5634012,-.1278474,
270,0,11,1,7,.361108,.3413047,-.1122523,.4632715,.4195949,-.2510924,
58,0,11,1,6,.3330684,.4472154,-1.579455,.2131672,.6837086,-1.563768,
533,0,11,1,6,.3455885,.3408129,.1299984,.3904007,.6351302,.1493476,
194,1,11,1,6,.4589784,.6928495,.2376818,.7830503,.9164611,.0801387,
221,1,11,1,6,.2086619,.438659,-.0958029,.3631456,.5248322,-.0912683,
531,1,11,1,6,.3880077,.3091274,1.392359,.764131,.5002741,1.440931,
335,1,11,1,6,.4852977,.8861087,.7315421,.7102979,.7724501,.7664669,
483,1,11,0,6,.3535505,.5666897,-1.258583,.7112892,.4945573,-1.205743,
375,1,11,1,6,.1579072,.4460979,.5996921,.6618848,.845982,.5705621,
408,1,11,0,6,.3604189,.6263308,-1.925405,.6748925,.8295925,-1.91777,
171,1,11,1,6,.3453368,.4683294,-2.19508,.5911317,.5799384,-2.156489,
220,0,11,1,6,.4922725,.5591565,1.403814,.7265443,.8301173,1.34631,
238,0,11,1,6,.3421781,.2917907,-1.490427,.4608369,.2773953,-1.504279,
364,1,11,1,6,.2254208,.2936639,-.2365504,.7056683,.5885826,-.3402662,
541,1,11,1,6,.3156878,.4404918,2.473908,.6123225,.7874605,2.447613,
283,1,11,0,6,.2801601,.3529989,-.7516249,.4313417,.5794039,-.8001904,
553,1,11,1,6,.2946245,.5394285,-1.287799,.60268,.6940154,-1.304887,
367,0,11,0,6,.5324634,.3896159,.2230754,.3682624,.5199299,.2229663,
