village_code,hhid,time,cash,income_pc,elder,hhsize
10106013,1,0,0,105.6322,0,3
10106013,1,1,0,554.4069,0,4
10106015,2,0,1,132.1215,0,2
10106015,2,1,1,446.1178,0,2
10106015,3,0,1,104.8145,0,5
10106015,3,1,1,56.23419,0,5
10106015,4,0,1,159.1184,0,4
10106015,4,1,1,84.93279,0,8
10106015,5,0,1,93.55496,1,3
10106015,5,1,1,469.061,1,2
10106019,6,0,0,73.10342,0,4
10106019,6,1,0,124.5575,0,3
10106019,7,0,0,19.43379,1,6
10106019,7,1,0,63.49036,1,3
10106019,8,0,0,37.72882,1,1
10106019,8,1,0,6.184125,1,1
10201011,9,0,0,998.8829,0,1
10201011,9,1,0,181.9843,0,1
10201011,10,0,0,32.27755,0,2
10201011,10,1,0,286.6838,0,5
10201011,11,0,0,53.04434,1,2
10201011,11,1,0,234.9968,1,1
10201011,12,0,0,141.0402,0,1
10201011,12,1,0,32.45429,0,1
10201012,13,0,1,73.67062,1,5
10201012,13,1,1,66.27532,1,3
10201012,14,0,1,52.29947,0,2
10201012,14,1,1,132.1177,0,1
10201013,15,0,1,49.75021,0,5
10201013,15,1,1,525.4189,0,6
10201013,16,0,1,102.3078,0,5
10201013,16,1,1,39.26007,0,5
10201013,17,0,1,148.0526,1,1
10201013,17,1,1,12.7393,1,1
10201014,18,0,0,75.22112,0,5
10201014,18,1,0,65.8251,0,4
10201014,19,0,0,124.4996,1,1
10201014,19,1,0,223.8653,1,1
10201014,20,0,0,16.3967,0,6
10201014,20,1,0,286.5227,0,1
10201014,21,0,0,430.836,1,1
10201014,21,1,0,71.73586,1,1
10201016,22,0,0,22.58894,0,7
10201016,22,1,0,394.542,0,7
10201016,23,0,0,44.12001,0,4
10201016,23,1,0,57.26069,0,10
10201016,24,0,0,286.2433,0,2
10201016,24,1,0,2603.248,0,1
10201016,25,0,0,74.95416,0,4
10201016,25,1,0,360.1635,0,1
10201018,26,0,0,254.6373,1,1
10201018,26,1,0,256.3224,1,1
10201018,27,0,0,214.4264,0,1
10201018,27,1,0,130.2484,0,5
10201018,28,0,0,37.64021,1,5
10201018,28,1,0,401.9682,1,4
10201020,29,0,1,64.636,0,6
10201020,29,1,1,316.4757,0,4
10201020,30,0,1,70.72518,0,3
10201020,30,1,1,1222.311,0,5
10201020,31,0,1,79.37861,0,3
10201020,31,1,1,35.95038,0,3
10201020,32,0,1,58.49138,0,9
10201020,32,1,1,10.21505,0,8
10202010,33,0,1,576.2003,1,3
10202010,33,1,1,374.2169,1,4
10202010,34,0,1,46.69257,0,7
10202010,34,1,1,264.3633,0,6
10202010,35,0,1,59.14183,1,3
10202010,35,1,1,273.8949,1,1
10202010,36,0,1,36.50769,0,4
10202010,36,1,1,479.6006,0,4
10202011,37,0,0,18.57804,1,9
10202011,37,1,0,27.56353,1,7
10202011,38,0,0,55.02029,1,2
10202011,38,1,0,49.15687,1,2
10202011,39,0,0,59.82099,1,5
10202011,39,1,0,60.10569,1,6
10202012,40,0,0,379.8867,0,1
10202012,40,1,0,943.6976,0,1
10202012,41,0,0,23.16979,0,5
10202012,41,1,0,171.1766,0,5
10202012,42,0,0,183.7844,0,1
10202012,42,1,0,159.1558,0,4
10202012,43,0,0,86.16448,1,1
10202012,43,1,0,96.44241,1,1
10202013,44,0,0,183.5544,1,1
10202013,44,1,0,254.2948,1,1
10202013,45,0,0,42.70966,0,1
10202013,45,1,0,492.2564,0,1
10202013,46,0,0,858.959,0,2
10202013,46,1,0,1913.369,0,2
10202013,47,0,0,61.54336,0,6
10202013,47,1,0,918.3412,0,5
10202014,48,0,0,174.1301,0,12
10202014,48,1,0,704.0215,0,12
10202014,49,0,0,36.82306,0,4
10202014,49,1,0,378.2042,0,5
10202014,50,0,0,94.14935,0,5
10202014,50,1,0,312.3867,0,7
10202014,51,0,0,91.84571,0,4
10202014,51,1,0,18.94124,0,6
10202016,52,0,0,305.9768,1,2
10202016,52,1,0,296.563,1,2
10202016,53,0,0,53.08428,0,5
10202016,53,1,0,696.4855,0,2
10202020,54,0,0,30.86516,0,7
10202020,54,1,0,38.71616,0,7
10202020,55,0,0,2625.668,0,1
10202020,55,1,0,449.0294,0,4
10202020,56,0,0,137.006,0,4
10202020,56,1,0,114.0971,0,4
10203010,57,0,1,30.74762,1,9
10203010,57,1,1,22.19843,1,5
10203011,58,0,0,436.7777,0,6
10203011,58,1,0,1.48419,0,5
10203011,59,0,0,329.3282,0,5
10203011,59,1,0,77.67687,0,5
10203011,60,0,0,162.451,0,5
10203011,60,1,0,582.4209,0,5
10203013,61,0,0,64.35507,1,4
10203013,61,1,0,118.6869,1,3
10203013,62,0,0,82.54379,0,7
10203013,62,1,0,88.96896,0,6
10203013,63,0,0,78.78688,0,5
10203013,63,1,0,632.265,0,5
10203013,64,0,0,17.77095,0,7
10203013,64,1,0,7.249921,0,5
10203015,65,0,0,37.2388,1,5
