pupid,insample,weight,BMI,T_avgtest96,T_buda,T_demeaned_popT_6k,T_female_baseline,T_pup_pop,T_saturation_dm,T_std98_base,T_zoneidI2,T_zoneidI3,T_zoneidI4,T_zoneidI5,T_zoneidI6,T_zoneidI7,T_zoneidI8,age_older,avgtest96,buda,cash_crop,cash_crop_FULL,cognitive_EngVocab_normalized,cost_sharing,demeaned_pop12_6km,demeaned_popT_1km,demeaned_popT_2km,demeaned_popT_3km,demeaned_popT_4km,demeaned_popT_5km,demeaned_popT_6k,demeaned_popT_7km,demeaned_popT_36k,demeaned_popT_69k,earnings_nonag_total_ALL,emp,emp_hrs7_total,emp_hrs7_total_ALL,emp_hrs7_total_pos,emp_salary_total,farmhrs2_ALL,farmhrs2_pos,farmwork2,female_baseline,gender_age_base_I1,gender_age_base_I2,gender_age_base_I3,gender_age_base_I4,gender_age_base_I5,gender_age_base_I6,gender_age_base_I7,gender_age_base_I8,gender_age_base_I9,gender_age_base_I10,gender_age_base_I11,gender_age_base_I12,gender_age_base_I13,gender_age_base_I14,gender_age_base_I15,gender_age_base_I16,gender_age_base_I17,gender_age_base_I18,gender_age_base_I19,gender_age_base_I20,gender_age_base_I21,gender_age_base_I22,gender_age_base_I23,gender_age_base_I24,gender_age_base_I25,gender_age_base_I26,gender_age_base_I27,gender_age_base_I28,gender_age_base_I29,gender_age_base_I30,gender_age_base_I31,general_health,grp3,height,high_standard,industry1,industry1_ALL,industry2,industry2_ALL,industry3,industry3_ALL,industry4,industry4_ALL,industry5,industry5_ALL,industry6,industry6_ALL,industry7,industry7_ALL,industry8,industry8_ALL,industry9,industry9_ALL,industry10,industry10_ALL,industry11,industry11_ALL,industry12,industry12_ALL,industry13,industry13_ALL,industry14,industry14_ALL,industry15,industry15_ALL,industry16,industry16_ALL,industry17,industry17_ALL,industry18,industry18_ALL,industry19,industry19_ALL,industry20,insample_edu_matrix,intensive,ln_emp_salary_total,ln_emp_salary_total_2007,ln_emp_salary_total_trimmed,ln_selfemp_profits30_total_cal,ln_wage_10hrs,month_interviewI2,month_interviewI3,month_interviewI4,month_interviewI5,month_interviewI6,month_interviewI7,month_interviewI8,month_interviewI9,month_interviewI10,month_interviewI11,month_interviewI12,num_meals_yesterday,out_of_school,passed_primary_exam,pc_ttl_cnsmp_avg_df_usd,primary_industry_self_indicator,psdpsch98,pup_pop,ravensB_normalized,repeat_somept,residence_outbusia,s2_age98_klps,s3_district_city,s5_attendPsch1999,s5_attendPsch2000,s5_attendPsch2001,s5_attendPsch2002,s5_attendPsch2003,s5_attendPsch2004,s5_attendPsch2005,s5_attendPsch2006,s5_attendPsch2007,s5_attendSsch1999,s5_attendSsch2000,s5_attendSsch2001,s5_attendSsch2002,s5_attendSsch2003,s5_attendSsch2004,s5_attendSsch2005,s5_attendSsch2006,s5_attendSsch2007,s5_attend_secsch_2007,s5_attendsch1999,s5_attendsch2000,s5_attendsch2001,s5_attendsch2002,s5_attendsch2003,s5_attendsch2004,s5_attendsch2005,s5_attendsch2006,s5_attendsch2007,s5_attendsch_survey,s5_highstd2007,s16_1_10poorhealth,saturation36k_dm,saturation69k_dm,saturation_1km_dm,saturation_2km_dm,saturation_3km_dm,saturation_4km_dm,saturation_5km_dm,saturation_6km_dm,saturation_7km_dm,saturation_dm,saturation_dm_sq,selfemp,selfemp_employees_total,selfemp_hrs7_total,selfemp_hrs7_total_ALL,selfemp_hrs7_total_pos,selfemp_profits30_total,selfemp_profits30_total_cal,selfemp_profits30_tott5,std98_base,std98_base_I2,std98_base_I3,std98_base_I4,std98_base_I5,std98_base_I6,total_hours,total_hours_positive,total_years_enrolledP,total_years_enrolledS,totpar,totpar98,totprs98,totyrs_enrolled,treatment,treatment_5kmlake,treatment_gender,treatment_geohelmith,treatment_high_std,treatment_worm,wave2,within_5km_lake,worked_emp_hours,worked_farm_hours,worked_hours,worked_self_hours,z_geohelmith1998_demeaned,z_inf98,zoneidI2,zoneidI3,zoneidI4,zoneidI5,zoneidI6,zoneidI7,zoneidI8
1080077,1,3.625,22.745726,.10987093,1,.054450512,1,.58999997,.059175193,2,0,0,1,0,0,0,0,0,.10987093,1,0,0,-1.4543352,0,.44272518,-.041233175,-.38632825,-.47030079,-.040124178,-.53344321,.054450512,-.76828098,.52475166,-2.7818429,0,0,,0,,,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,2,1,0,,,183,.58999997,-1.1172841,1,0,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,1,.14058942,-.34883237,-.080578193,-.37424996,-.25560075,-.14307392,-.057499945,.059175193,.077251434,.059175193,.0035017035,0,,,0,,,,,2,0,0,0,0,0,0,,3,0,1.6666667,1,2,4,1,1,1,.18401366,0,.14486703,0,1,0,0,0,0,.18401366,.14486703,0,0,1,0,0,0,0
1082002,1,4.125,22.42791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.26942801,1,,0,.10989068,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,500,0,,0,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,159,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,6.9077554,,0,0,0,0,0,0,0,0,0,1,0,2,1,1,,Fishing,108,.53100002,.63801426,1,0,10,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,8,0,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,1,0,30,30,30,500,1000,500,2,0,0,0,0,0,30,30,7,0,3.25,.75,3,8,0,0,0,0,0,0,1,1,0,0,1,1,.18401366,.14486703,0,0,1,0,0,0,0
1082003,1,2.2222223,20.83674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-.26942801,1,0,0,-.41151795,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,200,0,,0,,,12,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,171.10001,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,6.8023949,,1,0,0,0,0,0,0,0,0,0,0,2,1,0,,Fishing,108,.53100002,-1.1172841,1,0,13,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,7,4,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,1,0,16,16,16,200,900,200,2,0,0,0,0,0,28,28,7,0,2.4333334,.60000002,3,8,0,0,0,0,0,0,1,1,0,1,1,1,.18401366,.14486703,0,0,1,0,0,0,0
1082011,1,4.125,22.181078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.26942801,1,0,0,1.6741165,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,0,0,,0,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,159.60001,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,3,0,1,,,108,.53100002,.63801426,1,0,10,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10,7,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,0,,,0,,,,,2,0,0,0,0,0,0,,7,2,3.8,1,5,10,0,0,0,0,0,0,1,1,0,0,0,0,.18401366,.14486703,0,0,1,0,0,0,0
1082015,1,2.2222223,22.187832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.26942801,1,,,-.06391219,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,0,0,,0,,,10,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157.3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,,,108,.53100002,-.76622438,1,0,7,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,8,7,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,0,,,0,,,,,2,0,0,0,0,0,10,10,9,0,3.05,.75,3,10,0,0,0,0,0,0,1,1,0,1,1,0,.18401366,.14486703,0,0,1,0,0,0,0
1082016,1,2.2222223,20.318682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.26942801,1,0,0,1.3265108,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,0,0,,0,,,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174.39999,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,7.3132205,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,,108,.53100002,.98907393,1,0,10,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,0,,,0,,,,,2,0,0,0,0,0,0,,7,2,3.6666667,1,5,10,0,0,0,0,0,0,1,1,0,0,0,0,.18401366,.14486703,0,0,1,0,0,0,0
1082035,1,4.125,21.62859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.26942801,1,0,0,-1.4543352,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,0,0,,0,,,18,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,159.89999,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,,108,.53100002,-.41516471,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,0,,,0,,,,,2,0,0,0,0,0,18,18,1,0,2.3,.80000001,4,2,0,0,0,0,0,0,1,1,0,1,1,0,.18401366,.14486703,0,0,1,0,0,0,0
1082038,1,4.125,21.634924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-.26942801,1,,0,-1.6281381,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,0,0,,0,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,157.39999,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,3,1,0,,,108,.53100002,.63801426,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,0,,,0,,,,,2,0,0,0,0,0,0,,1,0,1.1333333,.80000001,4,2,0,0,0,0,0,0,1,1,0,0,0,0,.18401366,.14486703,0,0,1,0,0,0,0
1082044,1,2.2222223,20.481236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.26942801,1,0,0,-.41151795,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,0,0,,0,,,24,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,157.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,108,.53100002,-1.1172841,1,0,10,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,4,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,0,,,0,,,,,2,0,0,0,0,0,24,24,8,0,4,1,5,9,0,0,0,0,0,0,1,1,0,1,1,0,.18401366,.14486703,0,0,1,0,0,0,0
1082049,1,16.046251,21.131361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.26942801,1,,0,-.93292654,0,-1.8331938,-.041233175,-.38632825,-.64743227,-1.6828697,-2.647017,-2.6903679,-2.713196,-2.0429354,-.9581058,0,0,,0,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,162.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,3,1,1,,,108,.53100002,-1.1172841,1,1,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,8,0,-.062065661,.26582667,-.080578193,-.37424996,.16907424,.13647497,.15931982,-.01078397,.082656026,-.01078403,.0001162953,0,,,0,,,,,2,0,0,0,0,0,0,,7,0,2.5999999,.60000002,3,8,0,0,0,0,0,0,1,1,0,0,0,0,.18401366,.14486703,0,0,1,0,0,0,0
